station,hour,value
1000,24,8
1001,24,13
1002,24,1
1003,24,4
1004,24,6
1005,24,1
1006,24,15
1007,24,0
1008,24,2
1009,24,1
1010,24,9
1011,24,3
1012,24,12
1013,24,7
1014,24,0
1015,24,4
1016,24,1
1017,24,11
1018,24,7
1019,24,8
1020,24,0
1021,24,4
1022,24,1
1023,24,2
1024,24,5
1025,24,1
1026,24,6
1027,24,0
1028,24,0
1029,24,0
1030,24,0
1031,24,8
1032,24,0
1033,24,6
1034,24,3
1035,24,5
1036,24,3
1037,24,7
1038,24,4
1039,24,5
1040,24,4
1041,24,4
1042,24,0
1043,24,3
1044,24,1
1045,24,9
1046,24,2
1047,24,5
1048,24,1
1049,24,1
1050,24,0
1051,24,0
1000,1,2
1001,1,4
1002,1,0
1003,1,1
1004,1,1
1005,1,0
1006,1,4
1007,1,0
1008,1,0
1009,1,2
1010,1,5
1011,1,0
1012,1,5
1013,1,4
1014,1,0
1015,1,1
1016,1,2
1017,1,1
1018,1,0
1019,1,6
1020,1,7
1021,1,1
1022,1,0
1023,1,2
1024,1,3
1025,1,0
1026,1,5
1027,1,0
1028,1,0
1029,1,4
1030,1,0
1031,1,2
1032,1,0
1033,1,6
1034,1,2
1035,1,3
1036,1,6
1037,1,7
1038,1,0
1039,1,6
1040,1,6
1041,1,6
1042,1,1
1043,1,1
1044,1,2
1045,1,0
1046,1,0
1047,1,2
1048,1,3
1049,1,2
1050,1,0
1051,1,0
1000,2,0
1001,2,3
1002,2,0
1003,2,0
1004,2,1
1005,2,4
1006,2,0
1007,2,0
1008,2,2
1009,2,3
1010,2,7
1011,2,0
1012,2,3
1013,2,0
1014,2,0
1015,2,3
1016,2,1
1017,2,0
1018,2,4
1019,2,4
1020,2,1
1021,2,4
1022,2,7
1023,2,9
1024,2,2
1025,2,1
1026,2,1
1027,2,0
1028,2,1
1029,2,0
1030,2,0
1031,2,4
1032,2,1
1033,2,2
1034,2,3
1035,2,3
1036,2,4
1037,2,5
1038,2,1
1039,2,2
1040,2,10
1041,2,10
1042,2,0
1043,2,3
1044,2,0
1045,2,0
1046,2,0
1047,2,11
1048,2,5
1049,2,1
1050,2,1
1051,2,0
1000,3,1
1001,3,0
1002,3,1
1003,3,0
1004,3,0
1005,3,0
1006,3,0
1007,3,0
1008,3,0
1009,3,1
1010,3,1
1011,3,0
1012,3,0
1013,3,2
1014,3,0
1015,3,4
1016,3,0
1017,3,0
1018,3,0
1019,3,0
1020,3,2
1021,3,1
1022,3,0
1023,3,4
1024,3,0
1025,3,0
1026,3,0
1027,3,0
1028,3,0
1029,3,1
1030,3,0
1031,3,0
1032,3,0
1033,3,0
1034,3,1
1035,3,3
1036,3,0
1037,3,5
1038,3,1
1039,3,1
1040,3,0
1041,3,6
1042,3,0
1043,3,3
1044,3,0
1045,3,3
1046,3,1
1047,3,0
1048,3,0
1049,3,0
1050,3,0
1051,3,0
1000,4,0
1001,4,0
1002,4,0
1003,4,0
1004,4,0
1005,4,0
1006,4,0
1007,4,0
1008,4,1
1009,4,2
1010,4,0
1011,4,0
1012,4,0
1013,4,0
1014,4,0
1015,4,8
1016,4,0
1017,4,0
1018,4,0
1019,4,0
1020,4,1
1021,4,0
1022,4,2
1023,4,1
1024,4,0
1025,4,0
1026,4,0
1027,4,0
1028,4,0
1029,4,0
1030,4,0
1031,4,0
1032,4,3
1033,4,0
1034,4,5
1035,4,0
1036,4,0
1037,4,3
1038,4,0
1039,4,0
1040,4,0
1041,4,1
1042,4,0
1043,4,0
1044,4,0
1045,4,1
1046,4,0
1047,4,3
1048,4,0
1049,4,0
1050,4,0
1051,4,0
1000,5,4
1001,5,0
1002,5,0
1003,5,1
1004,5,1
1005,5,0
1006,5,2
1007,5,0
1008,5,0
1009,5,3
1010,5,1
1011,5,0
1012,5,2
1013,5,0
1014,5,0
1015,5,0
1016,5,2
1017,5,2
1018,5,1
1019,5,0
1020,5,5
1021,5,6
1022,5,5
1023,5,0
1024,5,0
1025,5,39
1026,5,0
1027,5,5
1028,5,0
1029,5,1
1030,5,1
1031,5,2
1032,5,16
1033,5,4
1034,5,0
1035,5,1
1036,5,0
1037,5,1
1038,5,1
1039,5,1
1040,5,0
1041,5,0
1042,5,0
1043,5,0
1044,5,0
1045,5,0
1046,5,0
1047,5,4
1048,5,2
1049,5,5
1050,5,0
1051,5,0
1000,6,1
1001,6,2
1002,6,1
1003,6,4
1004,6,5
1005,6,2
1006,6,2
1007,6,1
1008,6,0
1009,6,1
1010,6,0
1011,6,4
1012,6,0
1013,6,1
1014,6,0
1015,6,4
1016,6,24
1017,6,3
1018,6,1
1019,6,2
1020,6,2
1021,6,3
1022,6,8
1023,6,4
1024,6,5
1025,6,6
1026,6,1
1027,6,1
1028,6,1
1029,6,1
1030,6,1
1031,6,1
1032,6,18
1033,6,5
1034,6,1
1035,6,1
1036,6,10
1037,6,0
1038,6,6
1039,6,14
1040,6,0
1041,6,6
1042,6,0
1043,6,0
1044,6,0
1045,6,15
1046,6,2
1047,6,19
1048,6,11
1049,6,12
1050,6,0
1051,6,0
1000,7,13
1001,7,7
1002,7,6
1003,7,11
1004,7,5
1005,7,3
1006,7,2
1007,7,14
1008,7,4
1009,7,0
1010,7,11
1011,7,1
1012,7,21
1013,7,1
1014,7,7
1015,7,16
1016,7,21
1017,7,28
1018,7,17
1019,7,42
1020,7,14
1021,7,6
1022,7,14
1023,7,20
1024,7,7
1025,7,4
1026,7,7
1027,7,1
1028,7,3
1029,7,85
1030,7,0
1031,7,10
1032,7,19
1033,7,13
1034,7,2
1035,7,4
1036,7,7
1037,7,9
1038,7,38
1039,7,19
1040,7,4
1041,7,0
1042,7,0
1043,7,6
1044,7,7
1045,7,36
1046,7,0
1047,7,23
1048,7,55
1049,7,72
1050,7,5
1051,7,1
1000,8,19
1001,8,23
1002,8,7
1003,8,12
1004,8,7
1005,8,3
1006,8,1
1007,8,5
1008,8,15
1009,8,6
1010,8,22
1011,8,7
1012,8,14
1013,8,15
1014,8,7
1015,8,34
1016,8,9
1017,8,34
1018,8,7
1019,8,16
1020,8,38
1021,8,28
1022,8,17
1023,8,29
1024,8,41
1025,8,14
1026,8,33
1027,8,2
1028,8,19
1029,8,7
1030,8,0
1031,8,10
1032,8,67
1033,8,27
1034,8,57
1035,8,8
1036,8,2
1037,8,1
1038,8,67
1039,8,9
1040,8,2
1041,8,0
1042,8,8
1043,8,17
1044,8,31
1045,8,25
1046,8,13
1047,8,34
1048,8,31
1049,8,67
1050,8,5
1051,8,0
1000,9,32
1001,9,33
1002,9,11
1003,9,14
1004,9,41
1005,9,6
1006,9,4
1007,9,12
1008,9,11
1009,9,17
1010,9,22
1011,9,12
1012,9,17
1013,9,39
1014,9,12
1015,9,29
1016,9,11
1017,9,64
1018,9,31
1019,9,39
1020,9,63
1021,9,28
1022,9,22
1023,9,17
1024,9,26
1025,9,29
1026,9,7
1027,9,3
1028,9,8
1029,9,19
1030,9,5
1031,9,5
1032,9,27
1033,9,32
1034,9,24
1035,9,15
1036,9,10
1037,9,6
1038,9,57
1039,9,13
1040,9,5
1041,9,7
1042,9,0
1043,9,6
1044,9,44
1045,9,44
1046,9,21
1047,9,15
1048,9,31
1049,9,15
1050,9,31
1051,9,0
1000,10,52
1001,10,59
1002,10,8
1003,10,12
1004,10,18
1005,10,13
1006,10,12
1007,10,9
1008,10,11
1009,10,16
1010,10,43
1011,10,32
1012,10,39
1013,10,33
1014,10,8
1015,10,24
1016,10,32
