station,hour,value
1000,24,27
1000,1,12
1000,2,7
1000,3,2
1000,4,0
1000,5,7
1000,6,16
1000,7,50
1000,8,182
1000,9,120
1000,10,230
1000,11,394
1000,12,416
1000,13,402
1000,14,450
1000,15,452
1000,16,544
1000,17,602
1000,18,472
1000,19,354
1000,20,218
1000,21,207
1000,22,108
1000,23,65
1001,24,48
1001,1,45
1001,2,11
1001,3,2
1001,4,2
1001,5,6
1001,6,15
1001,7,73
1001,8,122
1001,9,133
1001,10,236
1001,11,422
1001,12,493
1001,13,426
1001,14,391
1001,15,376
1001,16,383
1001,17,571
1001,18,508
1001,19,368
1001,20,209
1001,21,148
1001,22,124
1001,23,92
1002,24,18
1002,1,4
1002,2,1
1002,3,3
1002,4,0
1002,5,0
1002,6,4
1002,7,18
1002,8,26
1002,9,48
1002,10,52
1002,11,76
1002,12,132
1002,13,119
1002,14,116
1002,15,144
1002,16,202
1002,17,231
1002,18,211
1002,19,121
1002,20,71
1002,21,41
1002,22,45
1002,23,22
1003,24,10
1003,1,6
1003,2,9
1003,3,4
1003,4,0
1003,5,6
1003,6,10
1003,7,34
1003,8,37
1003,9,39
1003,10,57
1003,11,109
1003,12,152
1003,13,154
1003,14,138
1003,15,124
1003,16,197
1003,17,316
1003,18,147
1003,19,140
1003,20,63
1003,21,36
1003,22,34
1003,23,22
1004,24,18
1004,1,4
1004,2,6
1004,3,1
1004,4,0
1004,5,1
1004,6,12
1004,7,23
1004,8,47
1004,9,118
1004,10,164
1004,11,169
1004,12,209
1004,13,173
1004,14,206
1004,15,198
1004,16,305
1004,17,414
1004,18,172
1004,19,105
1004,20,66
1004,21,49
1004,22,49
1004,23,34
1005,24,9
1005,1,11
1005,2,6
1005,3,4
1005,4,7
1005,5,1
1005,6,3
1005,7,11
1005,8,16
1005,9,46
1005,10,61
1005,11,144
1005,12,157
1005,13,144
1005,14,106
1005,15,134
1005,16,200
1005,17,373
1005,18,154
1005,19,75
1005,20,45
1005,21,19
1005,22,15
1005,23,4
1006,24,34
1006,1,11
1006,2,11
1006,3,1
1006,4,0
1006,5,4
1006,6,5
1006,7,14
1006,8,32
1006,9,37
1006,10,67
1006,11,98
1006,12,153
1006,13,118
1006,14,75
1006,15,109
1006,16,239
1006,17,321
1006,18,273
1006,19,115
1006,20,57
1006,21,42
1006,22,43
1006,23,32
1007,24,12
1007,1,2
1007,2,10
1007,3,3
1007,4,5
1007,5,0
1007,6,5
1007,7,38
1007,8,30
