day,hour,value
1,24,8
2,24,7
3,24,11
4,24,8
5,24,7
6,24,7
7,24,11
1,1,2
2,1,4
3,1,2
4,1,8
5,1,2
6,1,8
7,1,12
1,2,0
2,2,1
3,2,1
4,2,1
5,2,1
6,2,8
7,2,19
1,3,1
2,3,0
3,3,0
4,3,0
5,3,1
6,3,2
7,3,5
1,4,2
2,4,1
3,4,3
4,4,2
5,4,1
6,4,3
7,4,3
1,5,9
2,5,12
3,5,8
4,5,8
5,5,4
6,5,7
7,5,8
1,6,10
2,6,15
3,6,16
4,6,26
5,6,15
6,6,9
7,6,1
1,7,46
2,7,50
3,7,41
4,7,57
5,7,40
6,7,14
7,7,19
1,8,67
2,8,75
3,8,78
4,8,73
5,8,54
6,8,23
7,8,28
1,9,53
2,9,57
3,9,68
4,9,47
5,9,59
6,9,55
7,9,32
1,10,54
2,10,50
3,10,83
4,10,62
5,10,74
6,10,98
7,10,45
1,11,60
2,11,58
3,11,82
4,11,56
5,11,67
6,11,151
7,11,108
1,12,53
2,12,101
3,12,104
4,12,78
5,12,72
6,12,168
7,12,160
1,13,94
2,13,69
3,13,118
4,13,65
5,13,64
6,13,224
7,13,221
1,14,99
2,14,97
3,14,134
4,14,88
5,14,58
6,14,254
7,14,262
1,15,72
2,15,89
3,15,147
4,15,111
5,15,100
6,15,213
7,15,224
1,16,138
2,16,128
3,16,172
4,16,90
5,16,101
6,16,217
7,16,234
1,17,123
2,17,142
3,17,197
4,17,87
5,17,103
6,17,162
7,17,151
1,18,67
2,18,84
3,18,130
4,18,49
5,18,44
6,18,84
7,18,89
1,19,42
2,19,29
3,19,65
4,19,34
5,19,36
6,19,45
7,19,46
1,20,30
2,20,41
3,20,55
4,20,32
5,20,17
6,20,33
7,20,23
1,21,22
2,21,39
3,21,31
4,21,14
5,21,13
6,21,32
7,21,28
1,22,16
2,22,10
3,22,23
4,22,15
5,22,15
6,22,27
7,22,12
1,23,12
2,23,10
3,23,17
4,23,7
5,23,13
6,23,22
7,23,3
