id,name
1000,Liberty Ave & Stanwix St
1001,Forbes Ave & Market Square
1002,Third Ave & Wood St
1003,First Ave & Smithfield St (Art Institute)
1004,First Ave & B St (T Station)
1005,Forbes Ave & Grant St
1006,Ross St & Sixth Ave (Steel Plaza T Station)
1007,Stevenson St & Forbes Ave
1008,Centre Ave & PPG Paints Arena
1009,12th St & Penn Ave
1010,10th St & Penn Ave (David L. Lawrence Convention Center)
1011,Fort Duquesne Blvd & 7th
1012,North Shore Trail & Ft Duquesne Bridge
1013,Isabella St & Federal St (PNC Park)
1014,Ridge Ave & Brighton Rd (CCAC)
1015,Federal St & E North Ave
1016,17th St & Penn Ave
1017,21st St & Penn Ave
1018,37th St & Butler St
1019,42nd St & Butler St
1020,42nd St & Penn Ave (Children's Hospital)
1021,Taylor St & Liberty Ave
1022,Liberty Ave & S Millvale (West Penn Hospital)
1023,Liberty Ave & Baum Blvd
1024,S Negley Ave & Baum Blvd
1025,Penn Ave & N Fairmount St
1026,Penn Ave & S Whitfield St
1027,Shady Ave & Ellsworth Ave
1028,Penn Ave & Putnam St (Bakery Square)
1029,Alder St & S Higland Ave
1030,S Euclid Ave & Centre Ave
1031,Maryland Ave & Ellsworth Ave
1032,Walnut St & College St
1033,Ivy St & Walnut St
1034,Ellsworth Ave & N Neville St
1035,Fifth Ave & S Dithridge St
1036,Schenley Dr at Schenley Plaza (Carnegie Library Main)
1037,Frew St & Schenley Dr
1038,Boulevard of the Allies & Parkview Ave
1039,Atwood St & Bates
1040,Bigelow Blvd & Fifth Ave
1041,Fifth Ave & S Bouquet St
1042,Centre Ave & Kirkpatrick St
1043,Coltart Ave & Forbes Ave
1044,Zulema St & Coltart Ave
1045,S 27th St & Sidney St. (Southside Works)
1046,S 25th St & E Carson St
1047,S 22nd St & E Carson St
1048,S 18th St & Sidney St
1049,S 12th St & E Carson St
1050,Healthy Ride Hub
1051,Transit
1055,Winter Storage
