"","X","StationNum","StationName","RackQnty","loc"
"1",1,1000,"Liberty & Stanwix",16,"[ -80.004679,40.441326 ]"
"2",2,1001,"Forbes Ave & Market Sq",19,"[ -80.00308,40.440877 ]"
"3",3,1002,"Third & Wood",15,"[ -80.00186,40.43903 ]"
"4",4,1003,"First Ave & Smithfield St",15,"[ -80.000375,40.4372 ]"
"5",5,1004,"First Ave & B St",15,"[ -79.9968767,40.4358002 ]"
"6",6,1005,"Forbes Ave & Grant St",19,"[ -79.9974405,40.4387769 ]"
"7",7,1006,"Ross St & Sixth Ave",21,"[ -79.9951376,40.4400542 ]"
"8",8,1007,"Stevenson St & Forbes Ave",19,"[ -79.986695,40.437643 ]"
"9",9,1008,"Centre Ave and Consol",35,"[ -79.988636,40.440368 ]"
"10",10,1009,"12th St & Penn Ave",19,"[ -79.99238,40.445844 ]"
"11",11,1010,"10th St & Penn Ave",15,"[ -79.9958114,40.444614 ]"
"12",12,1011,"Fort Duquesne Blvd & 7th",15,"[ -80.0007479,40.4448352 ]"
"13",13,1012,"North Shore Trail & Ft Duquesne Bridge",35,"[ -80.008882,40.445834 ]"
"14",14,1013,"Isabella St & Federal St",15,"[ -80.003964,40.447571 ]"
"15",15,1014,"Ridge Ave & Brighton Rd (CCAC)",19,"[ -80.013204,40.450595 ]"
"16",16,1015,"Federal St & E North Ave",12,"[ -80.0063467,40.45509087 ]"
"17",17,1016,"17th St & Penn Ave",19,"[ -79.985893,40.449631 ]"
"18",18,1017,"21st St & Penn Ave",19,"[ -79.983543,40.452124 ]"
"19",19,1018,"37th St & Butler St",21,"[ -79.964628,40.466103 ]"
"20",20,1019,"42nd St & Butler St",17,"[ -79.9603066,40.470188 ]"
"21",21,1020,"42nd St & Penn Ave",15,"[ -79.954417,40.465893 ]"
"22",22,1021,"Taylor St & Liberty Ave",19,"[ -79.950867,40.462769 ]"
"23",23,1022,"Liberty Ave & S Millvale",15,"[ -79.9456124,40.4599487 ]"
"24",24,1023,"Liberty Ave & Baum Blvd",21,"[ -79.939362,40.456505 ]"
"25",25,1024,"S Negley Ave & Baum Blvd",17,"[ -79.933483,40.458714 ]"
"26",26,1025,"Penn Ave & N Fairmount St",15,"[ -79.933188,40.464443 ]"
"27",27,1026,"S Whitfield St & Baum Blvd",13,"[ -79.926302,40.460982 ]"
"28",28,1027,"Shady Ave & Ellsworth Ave",19,"[ -79.922023,40.458972 ]"
"29",29,1028,"Penn Ave & Putnam St (Bakery Sq)",19,"[ -79.915248,40.455821 ]"
"30",30,1029,"Alder St & S Higland Ave",19,"[ -79.9248275,40.4573211 ]"
"31",31,1030,"S Euclid Ave & Centre Ave",12,"[ -79.9290211,40.4589116 ]"
"32",32,1031,"Maryland Ave & Ellsworth Ave",19,"[ -79.930962,40.45628 ]"
"33",33,1032,"Maryland Ave & Walnut St",15,"[ -79.928637,40.452621 ]"
"34",34,1033,"Ivy St & Walnut St",19,"[ -79.932324,40.45177 ]"
"35",35,1034,"Ellsworth Ave & N Neville St",15,"[ -79.947401,40.448419 ]"
"36",36,1035,"Fifth Ave & S Dithridge St",19,"[ -79.950881,40.446744 ]"
"37",37,1036,"Schenley Dr at Schenley Plaza",19,"[ -79.951479,40.442398 ]"
"38",38,1037,"Frew St & Schenley Dr",20,"[ -79.948042,40.441032 ]"
"39",39,1038,"Boulevard of the Allies & Parkview Ave",19,"[ -79.951877,40.434338 ]"
"40",40,1039,"Atwood St & Bates",19,"[ -79.95367,40.437987 ]"
"41",41,1040,"Bigelow Blvd & Fifth Ave",21,"[ -79.9550156,40.4446284 ]"
"42",42,1041,"Fifth Ave & S Bouquet",19,"[ -79.957604,40.442325 ]"
"43",43,1042,"Centre Ave & Kirkpatrick St",12,"[ -79.977194,40.445019 ]"
"44",44,1043,"Coltart Ave & Forbes Ave",15,"[ -79.960179,40.438876 ]"
"45",45,1044,"Zulema St & Coltart Ave",19,"[ -79.956942,40.435986 ]"
"46",46,1045,"S 27th & Tunnel Blvd",19,"[ -79.965228,40.428658 ]"
"47",47,1046,"S 25th St & E Carson St",18,"[ -79.969799,40.42802 ]"
"48",48,1047,"S 22nd St & E Carson St",20,"[ -79.974559,40.428576 ]"
"49",49,1048,"S 18th St & Sidney St",16,"[ -79.980684,40.429338 ]"
"50",50,1049,"S 12th St & E Carson St",19,"[ -79.9863687,40.4285528 ]"
