station,hour,value
1000,24,14
1001,24,13
1002,24,7
1003,24,2
1004,24,7
1005,24,5
1006,24,6
1007,24,4
1008,24,3
1009,24,10
1010,24,19
1011,24,15
1012,24,28
1013,24,39
1014,24,4
1015,24,3
1016,24,6
1017,24,9
1018,24,4
1019,24,24
1020,24,8
1021,24,4
1022,24,3
1023,24,3
1024,24,4
1025,24,2
1026,24,3
1027,24,3
1028,24,9
1029,24,1
1030,24,0
1031,24,17
1032,24,2
1033,24,28
1034,24,8
1035,24,5
1036,24,20
1037,24,4
1038,24,1
1039,24,14
1040,24,12
1041,24,18
1042,24,0
1043,24,1
1044,24,0
1045,24,17
1046,24,10
1047,24,9
1048,24,1
1049,24,19
1050,24,0
1000,1,3
1001,1,12
1002,1,1
1003,1,2
1004,1,2
1005,1,8
1006,1,3
1007,1,2
1008,1,6
1009,1,1
1010,1,13
1011,1,4
1012,1,15
1013,1,4
1014,1,0
1015,1,1
1016,1,1
1017,1,0
1018,1,1
1019,1,8
1020,1,2
1021,1,8
1022,1,4
1023,1,3
1024,1,4
1025,1,2
1026,1,2
1027,1,0
1028,1,2
1029,1,4
1030,1,0
1031,1,14
1032,1,3
1033,1,18
1034,1,8
1035,1,6
1036,1,8
1037,1,0
1038,1,1
1039,1,16
1040,1,11
1041,1,17
1042,1,0
1043,1,2
1044,1,0
1045,1,7
1046,1,4
1047,1,11
1048,1,8
1049,1,11
1050,1,0
1000,2,0
1001,2,1
1002,2,1
1003,2,8
1004,2,1
1005,2,0
1006,2,3
1007,2,6
1008,2,1
1009,2,0
1010,2,5
1011,2,5
1012,2,8
1013,2,6
1014,2,0
1015,2,2
1016,2,3
1017,2,3
1018,2,1
1019,2,4
1020,2,1
1021,2,1
1022,2,4
1023,2,5
1024,2,0
1025,2,0
1026,2,0
1027,2,0
1028,2,1
1029,2,2
1030,2,0
1031,2,9
1032,2,4
1033,2,14
1034,2,2
1035,2,0
1036,2,3
1037,2,0
1038,2,1
1039,2,9
1040,2,5
1041,2,4
1042,2,0
1043,2,2
1044,2,2
1045,2,0
1046,2,2
1047,2,5
1048,2,0
1049,2,28
1050,2,1
1000,3,0
1001,3,1
1002,3,0
1003,3,4
1004,3,1
1005,3,4
1006,3,1
1007,3,1
1008,3,1
1009,3,3
1010,3,2
1011,3,0
1012,3,0
1013,3,0
1014,3,0
1015,3,1
1016,3,0
1017,3,4
1018,3,0
1019,3,1
1020,3,1
1021,3,0
1022,3,2
1023,3,3
1024,3,1
1025,3,1
1026,3,0
1027,3,0
1028,3,0
1029,3,0
1030,3,0
1031,3,2
1032,3,1
1033,3,5
1034,3,2
1035,3,2
1036,3,5
1037,3,0
1038,3,0
1039,3,3
1040,3,13
1041,3,2
1042,3,0
1043,3,0
1044,3,0
1045,3,0
1046,3,0
1047,3,0
1048,3,0
1049,3,2
1050,3,1
1000,4,0
1001,4,0
1002,4,0
1003,4,0
