day,hour,value
1,24,17
2,24,7
3,24,16
4,24,26
5,24,23
6,24,61
7,24,53
1,1,11
2,1,13
3,1,10
4,1,11
5,1,14
6,1,26
7,1,30
1,2,15
2,2,12
3,2,9
4,2,11
5,2,8
6,2,28
7,2,44
1,3,3
2,3,2
3,3,4
4,3,6
5,3,2
6,3,6
7,3,19
1,4,5
2,4,3
3,4,3
4,4,6
5,4,2
6,4,5
7,4,7
1,5,22
2,5,20
3,5,29
4,5,16
5,5,15
6,5,3
7,5,13
1,6,28
2,6,38
3,6,33
4,6,33
5,6,37
6,6,17
7,6,26
1,7,133
2,7,133
3,7,146
4,7,126
5,7,111
6,7,23
7,7,49
1,8,156
2,8,160
3,8,174
4,8,154
5,8,146
6,8,48
7,8,135
1,9,137
2,9,139
3,9,151
4,9,131
5,9,149
6,9,115
7,9,272
1,10,147
2,10,110
3,10,119
4,10,91
5,10,132
6,10,220
7,10,361
1,11,218
2,11,160
3,11,163
4,11,122
5,11,221
6,11,327
7,11,459
1,12,222
2,12,205
3,12,267
4,12,183
5,12,280
6,12,343
7,12,547
1,13,211
2,13,174
3,13,253
4,13,150
5,13,265
6,13,385
7,13,406
1,14,210
2,14,166
3,14,220
4,14,147
5,14,237
6,14,419
7,14,397
1,15,260
2,15,201
3,15,190
4,15,140
5,15,250
6,15,380
7,15,385
1,16,257
2,16,249
3,16,270
4,16,177
5,16,352
6,16,323
7,16,299
1,17,345
2,17,385
3,17,452
4,17,272
5,17,393
6,17,234
7,17,323
1,18,325
2,18,329
3,18,391
4,18,217
5,18,364
6,18,243
7,18,229
1,19,223
2,19,230
3,19,305
4,19,187
5,19,288
6,19,202
7,19,250
1,20,127
2,20,154
3,20,173
4,20,133
5,20,187
6,20,128
7,20,192
1,21,94
2,21,115
3,21,129
4,21,86
5,21,155
6,21,102
7,21,82
1,22,81
2,22,63
3,22,87
4,22,61
5,22,90
6,22,67
7,22,87
1,23,52
2,23,47
3,23,75
4,23,84
5,23,93
6,23,75
7,23,54
