day,hour,value
1,24,105
2,24,93
3,24,98
4,24,117
5,24,159
6,24,289
7,24,287
1,1,76
2,1,60
3,1,49
4,1,93
5,1,65
6,1,189
7,1,175
1,2,56
2,2,46
3,2,31
4,2,39
5,2,57
6,2,150
7,2,167
1,3,13
2,3,11
3,3,11
4,3,25
5,3,26
6,3,55
7,3,68
1,4,28
2,4,14
3,4,16
4,4,17
5,4,14
6,4,24
7,4,31
1,5,88
2,5,95
3,5,129
4,5,92
5,5,75
6,5,34
7,5,49
1,6,145
2,6,187
3,6,182
4,6,185
5,6,171
6,6,93
7,6,86
1,7,540
2,7,563
3,7,569
4,7,648
5,7,552
6,7,213
7,7,260
1,8,775
2,8,892
3,8,905
4,8,875
5,8,811
6,8,368
7,8,486
1,9,587
2,9,640
3,9,632
4,9,618
5,9,624
6,9,753
7,9,864
1,10,647
2,10,558
3,10,574
4,10,610
5,10,645
6,10,1331
7,10,1228
1,11,879
2,11,665
3,11,752
4,11,719
5,11,912
6,11,1744
7,11,1643
1,12,906
2,12,884
3,12,976
4,12,938
5,12,1152
6,12,1894
7,12,1848
1,13,918
2,13,837
3,13,945
4,13,801
5,13,1044
6,13,2154
7,13,1767
1,14,916
2,14,804
3,14,863
4,14,828
5,14,1031
6,14,2169
7,14,1856
1,15,960
2,15,838
3,15,894
4,15,879
5,15,1102
6,15,2019
7,15,1762
1,16,1212
2,16,1140
3,16,1287
4,16,1096
5,16,1418
6,16,1790
7,16,1665
1,17,1423
2,17,1579
3,17,1849
4,17,1576
5,17,1565
6,17,1328
7,17,1485
1,18,1170
2,18,1303
3,18,1501
4,18,1233
5,18,1228
6,18,1096
7,18,1158
1,19,912
2,19,928
3,19,1143
4,19,974
5,19,1028
6,19,1012
7,19,920
1,20,576
2,20,717
3,20,717
4,20,694
5,20,698
6,20,709
7,20,619
1,21,374
2,21,437
3,21,524
4,21,472
5,21,538
6,21,501
7,21,360
1,22,271
2,22,285
3,22,365
4,22,379
5,22,473
6,22,448
7,22,275
1,23,186
2,23,179
3,23,265
4,23,285
5,23,318
6,23,343
7,23,177
